Country Name,Country Code,Year,Gini_Index,GDP_per_Capita
Angola,AGO,2000,51.9,563.733795571487
Argentina,ARG,2000,51.0,7637.01489203628
Austria,AUT,2000,29.0,24487.2974685956
Belgium,BEL,2000,33.1,23098.8865077401
Bangladesh,BGD,2000,33.4,396.670730249751
Belarus,BLR,2000,31.2,1276.2880341
Bolivia,BOL,2000,61.6,975.777060358751
Canada,CAN,2000,33.4,24271.0020563821
Switzerland,CHE,2000,33.4,38865.021939688
Chile,CHL,2000,52.8,5052.99245766325
Colombia,COL,2000,58.4,2555.00751039968
Costa Rica,CRI,2000,47.4,3812.75388284924
Germany,DEU,2000,28.9,23925.8559901991
Denmark,DNK,2000,23.8,30722.0251837567
Dominican Republic,DOM,2000,51.5,2831.45883638033
Ecuador,ECU,2000,56.3,1382.23421759909
Spain,ESP,2000,34.1,14743.2671031455
Estonia,EST,2000,35.8,4070.60902410208
Finland,FIN,2000,27.2,24335.9225082659
France,FRA,2000,32.6,22340.5939516217
United Kingdom,GBR,2000,38.8,28383.8761094996
Georgia,GEO,2000,40.5,749.908534993961
Greece,GRC,2000,34.4,11638.2010697215
Guatemala,GTM,2000,54.2,1648.96578971559
Croatia,HRV,2000,31.3,4953.65158789022
Hungary,HUN,2000,27.2,4629.91760812548
Indonesia,IDN,2000,30.3,763.711124950924
Ireland,IRL,2000,33.0,26334.5672050501
Italy,ITA,2000,35.2,20190.0035636084
Kyrgyz Republic,KGZ,2000,31.0,279.621738464365
Lithuania,LTU,2000,31.7,3300.63634928559
Luxembourg,LUX,2000,30.1,48659.5988753233
Morocco,MAR,2000,40.6,1499.107421875
Moldova,MDA,2000,36.4,440.538683980372
Mexico,MEX,2000,53.4,7524.0271380091
North Macedonia,MKD,2000,34.3,1861.89899780644
Mauritania,MRT,2000,39.0,680.911061879778
Norway,NOR,2000,27.4,38178.2368777076
Panama,PAN,2000,56.6,3975.09310275544
Peru,PER,2000,49.1,1945.41338451698
Philippines,PHL,2000,47.7,1050.79273107952
Poland,POL,2000,33.0,4520.64100449111
Romania,ROU,2000,29.3,1659.92904910528
Russian Federation,RUS,2000,37.1,1771.59411621094
Rwanda,RWA,2000,48.5,251.86926386091
El Salvador,SLV,2000,51.5,1982.87093542615
Sao Tome and Principe,STP,2000,32.1,529.089383412262
Sweden,SWE,2000,27.0,29632.5890811623
Eswatini,SWZ,2000,53.1,1629.67038842815
Thailand,THA,2000,42.8,2005.97694514234
Tonga,TON,2000,37.7,1995.07667546271
Tunisia,TUN,2000,40.8,2199.04465936314
Tanzania,TZA,2000,37.3,401.698150634766
Uruguay,URY,2000,43.4,6987.70098766257
United States,USA,2000,40.1,36329.9560727102
Uzbekistan,UZB,2000,35.9,555.149231099186
South Africa,ZAF,2000,57.8,3217.84693448467
Argentina,ARG,2001,53.3,7141.47507662826
Armenia,ARM,2001,35.4,659.588988535629
Australia,AUS,2001,33.5,19733.6510102645
Azerbaijan,AZE,2001,36.5,703.670998584686
Bulgaria,BGR,2001,32.7,1770.90704918691
Bosnia and Herzegovina,BIH,2001,30.0,1387.89362942121
Belarus,BLR,2001,30.6,1244.37318523431
Bolivia,BOL,2001,57.4,930.168227214313
Brazil,BRA,2001,58.4,3176.28975052524
Canada,CAN,2001,33.6,23822.096210932
Cameroon,CMR,2001,42.1,715.470296470585
Colombia,COL,2001,57.3,2472.99084035833
Cabo Verde,CPV,2001,52.5,1223.33055331575
Costa Rica,CRI,2001,51.5,3985.12984506207
Germany,DEU,2001,29.9,23878.3641471651
Dominican Republic,DOM,2001,50.0,2935.89367312668
Estonia,EST,2001,36.0,4502.66614992392
France,FRA,2001,32.5,22331.7948343036
United Kingdom,GBR,2001,37.1,28013.8729635508
Georgia,GEO,2001,39.6,801.98383707929
Honduras,HND,2001,55.4,1132.1648753329
Croatia,HRV,2001,31.1,5364.83824691607
Haiti,HTI,2001,59.0,748.821159844528
Hungary,HUN,2001,26.9,5280.94887987063
Indonesia,IDN,2001,31.2,732.307093405708
Israel,ISR,2001,38.9,20966.3052667971
Kazakhstan,KAZ,2001,36.0,1422.27331810957
Kyrgyz Republic,KGZ,2001,30.2,308.41129550148
Lithuania,LTU,2001,32.0,3532.52787363242
Luxembourg,LUX,2001,30.9,48440.1420151355
Moldova,MDA,2001,38.0,507.404076252819
Madagascar,MDG,2001,47.4,319.283278235657
Mali,MLI,2001,39.9,346.224554251022
Nicaragua,NIC,2001,52.9,1051.874235891
Pakistan,PAK,2001,28.7,609.939506905073
Panama,PAN,2001,56.7,3991.77672094655
Peru,PER,2001,51.3,1929.57273038846
Poland,POL,2001,32.8,5015.23790036613
Paraguay,PRY,2001,54.6,1637.68615122932
Romania,ROU,2001,29.4,1825.19299373184
Russian Federation,RUS,2001,36.9,2100.3525390625
Senegal,SEN,2001,41.2,637.213530563724
El Salvador,SLV,2001,51.3,2058.04459070452
Sweden,SWE,2001,26.5,27259.3174300217
Timor-Leste,TLS,2001,35.9,587.700634429079
Uruguay,URY,2001,45.0,6382.76104740859
United States,USA,2001,40.6,37133.623113437
"Venezuela, RB",VEN,2001,47.2,4920.39313600453
Albania,ALB,2002,31.7,1479.83884572006
Argentina,ARG,2002,53.8,2569.69963519124
Armenia,ARM,2002,34.8,742.651118319819
Azerbaijan,AZE,2002,25.3,763.108895463487
Belarus,BLR,2002,30.3,1479.38066337175
Bolivia,BOL,2002,59.3,888.221328974352
Brazil,BRA,2002,58.1,2855.94017137049
Botswana,BWA,2002,61.5,3117.25087183011
Canada,CAN,2002,33.6,24256.0192337185
Switzerland,CHE,2002,31.7,42458.7384679187
China,CHN,2002,42.0,1163.55957673426
Cote d'Ivoire,CIV,2002,41.3,967.815864415991
Colombia,COL,2002,56.0,2428.92969771584
Costa Rica,CRI,2002,51.8,4067.71851429092
Czechia,CZE,2002,26.6,8101.26018588111
Germany,DEU,2002,29.8,25486.5942008748
Djibouti,DJI,2002,40.0,743.013270420348
Dominican Republic,DOM,2002,49.7,3065.60329524196
Estonia,EST,2002,35.8,5343.18310760735
Fiji,FJI,2002,38.1,2136.56794118683
France,FRA,2002,31.8,24144.5727019529
United Kingdom,GBR,2002,35.1,30158.7017807858
Georgia,GEO,2002,37.2,853.526171868939
Guinea,GIN,2002,43.0,495.916073559269
Guinea-Bissau,GNB,2002,35.6,362.034574570354
Greece,GRC,2002,35.5,13782.195640943
Honduras,HND,2002,55.7,1132.49965345317
Hungary,HUN,2002,26.8,6658.04494326809
Indonesia,IDN,2002,30.2,881.002913569131
Ireland,IRL,2002,32.3,32705.4345565698
Israel,ISR,2002,39.6,19076.4584298321
Italy,ITA,2002,34.7,22451.3964379368
Jamaica,JAM,2002,48.3,3680.64551727724
Jordan,JOR,2002,37.0,1706.26744384401
Kazakhstan,KAZ,2002,34.8,1573.55219932325
Kyrgyz Republic,KGZ,2002,30.3,321.726775366804
Lao PDR,LAO,2002,32.6,313.350817148131
Sri Lanka,LKA,2002,40.2,834.936014905338
Lesotho,LSO,2002,51.2,388.92334985135
Lithuania,LTU,2002,31.9,4148.13091485015
Luxembourg,LUX,2002,31.1,53005.7339209179
Latvia,LVA,2002,35.1,4003.60935783538
Moldova,MDA,2002,35.8,570.799866188293
Maldives,MDV,2002,41.3,3076.07007160101
Mexico,MEX,2002,50.6,7983.03398381759
North Macedonia,MKD,2002,38.5,1989.13537265159
Mongolia,MNG,2002,32.9,570.249213248399
Mozambique,MOZ,2002,46.9,313.886661721198
Panama,PAN,2002,56.1,4090.58616456082
Peru,PER,2002,53.6,2007.37019626753
Poland,POL,2002,34.1,5223.45178967082
Paraguay,PRY,2002,57.3,1367.76506935997
Romania,ROU,2002,30.2,2119.85509684554
Russian Federation,RUS,2002,37.3,2377.52954101563
El Salvador,SLV,2002,51.9,2115.41187355626
Serbia,SRB,2002,32.7,2390.73459447107
Slovenia,SVN,2002,29.1,11639.1297780477
Sweden,SWE,2002,26.2,29957.7776664916
Thailand,THA,2002,41.9,2089.75183111554
Turkiye,TUR,2002,41.4,3591.08628982587
Uganda,UGA,2002,45.2,241.984688408335
Ukraine,UKR,2002,29.0,903.011901855469
Uruguay,URY,2002,45.5,4149.76140312687
United States,USA,2002,40.4,37997.7596573051
Uzbekistan,UZB,2002,33.0,381.409296889283
"Venezuela, RB",VEN,2002,48.9,3652.09896501865
Viet Nam,VNM,2002,37.0,445.132861817313
Samoa,WSM,2002,40.7,1527.55790455937
Zambia,ZMB,2002,42.1,393.864625518616
Argentina,ARG,2003,51.0,3320.47775133903
Armenia,ARM,2003,33.0,882.030167695474
Australia,AUS,2003,33.5,23757.5898471684
Austria,AUT,2003,29.5,32110.1159661425
Azerbaijan,AZE,2003,26.8,883.692580745256
Belgium,BEL,2003,28.1,30655.2092679024
Benin,BEN,2003,38.6,676.002878084282
Burkina Faso,BFA,2003,43.3,362.373899996953
Bulgaria,BGR,2003,28.9,2719.49436859287
Belarus,BLR,2003,28.8,1819.52653114699
Brazil,BRA,2003,57.6,3090.6068907839
Bhutan,BTN,2003,40.9,1022.38240311018
Canada,CAN,2003,33.8,28301.8645937428
Chile,CHL,2003,51.5,4773.40177520754
Colombia,COL,2003,53.6,2311.94218760291
Costa Rica,CRI,2003,49.3,4173.14856415514
Germany,DEU,2003,29.8,30711.1022511331
Denmark,DNK,2003,25.6,40519.0974905924
